,S,U1,U2,U3,U4,W1,W2,W3,W4,R,Sv,V1,V2,V3,V4
1246,0.5252433923091188,5.097378873532474e-06,1.2641927995311185e-08,1.8927079973004358e-05,9.287910441249401e-08,0.9515822889315567,0.708509195600281,0.8453981701125871,0.2041865676105392,3.7650562554560545,11.651479186348089,7.507643061963472e-06,1.844543203291885e-08,2.9405257468082563e-05,1.377295544741264e-07
1247,0.5268899305624988,6.7725603573359284e-06,1.6923885963554813e-08,2.412303926451861e-05,1.2273515375350478e-07,0.9513327326624502,0.7083188935265377,0.8451985579177999,0.20413251418140452,3.7640963358906645,12.214193003868665,1.0169163418609559e-05,2.517491600165064e-08,3.8199071766763984e-05,1.8554201116774772e-07
1248,0.5285331069208044,9.214017773127007e-06,2.320333609240173e-08,3.14530842456476e-05,1.6605677286283438e-07,0.9510814585212519,0.708125639530242,0.8450035819015103,0.20407786745811624,3.7631374893059646,12.70127798668425,1.4060407107165022e-05,3.507910348675052e-08,5.0608445843076204e-05,2.551158032095062e-07
1249,0.5301716619137894,1.278924853420217e-05,3.2460939862022346e-08,4.1807829045101776e-05,2.2919205752860536e-07,0.9508278213232303,0.7079281489280467,0.8448150752180763,0.20402236751309866,3.7621800663732,13.105667414333055,1.977391016083792e-05,4.972427582544822e-08,6.814845832248279e-05,3.567568462855301e-07
1250,0.53180378429415,1.804355996684819e-05,4.6163690412903425e-08,5.645049376654565e-05,3.215054591077994e-07,0.950570960279183,0.707724574392705,0.8446356083137229,0.20396564063299039,3.7612245703643836,13.421492927985808,2.8182826723189136e-05,7.14381978105749e-08,9.294749607645867e-05,5.055585774048192e-07
1251,0.53342688049263,2.5777478842735775e-05,6.648375948102051e-08,7.714801338041875e-05,4.5665876824144795e-07,0.9503097479064271,0.7075122707506182,0.844468777794135,0.2039071518526212,3.7602717225688354,13.644169281094399,4.055654766643198e-05,1.0363554778705165e-07,0.0001279458127195424,7.233209137329399e-07
1252,0.535037267227821,3.71487747049528e-05,9.659134991336527e-08,0.00010632724804012657,6.542801170095612e-07,0.950042746810937,0.7072874812959213,0.8443195847861944,0.2038461417421613,3.7593225512427693,13.770460409798966,5.87067384121985e-05,1.512364387456288e-07,0.00017711628487840578,1.040940937899143e-06
1253,0.5366297785738249,5.379859356038143e-05,1.410238146296639e-07,0.000147242870362439,9.41996987998161e-07,0.9497681941796836,0.7070449366773068,0.8441949117732064,0.20378154574271412,3.7583785085685566,13.798525900856816,8.515648926805414e-05,2.2116329684100493e-07,0.0002456734684713114,1.5011287577157095e-06
1254,0.5381972925489382,7.799282103385116e-05,2.061109082216933e-07,0.00020412597085674384,1.357665561215664e-06,0.9494840468046777,0.706777371434049,0.8441040918939026,0.20371189723715358,3.757441617512936,13.727947266766483,0.00012330931790379844,3.228580105321298e-07,0.0003402055450685503,2.161031056215593e-06
1255,0.5397302089464959,0.0001127549428959697,3.0039469813692886e-07,0.0002822569126350087,1.9513812495434446e-06,0.949188134725255,0.7064749904557127,0.8440595365699916,0.20363522110644416,3.7565146445646396,13.559733798669685,0.00017756943390913373,4.686899717276535e-07,0.0004686226442414109,3.0939255667863874e-06
