,S,U1,U2,U3,U4,W1,W2,W3,W4,R,Sv,V1,V2,V3,V4
926,1.3777732181825704,1.722598433388042e-15,1.3565239671833052e-15,1.4520289697395263e-15,2.087904027434856e-15,0.24267688157795198,0.20917058357370202,0.18520444286825039,0.1527273834711404,4.83244749032636,6.262663842286581,1.8417869166629457e-15,1.4506041639646634e-15,1.5522377717945242e-15,2.229909083046541e-15
927,1.3792107207990445,1.8321914142634812e-15,1.4426960238072266e-15,1.544561652375183e-15,2.222199459495322e-15,0.2426148334490234,0.2091171024046129,0.1851570894117758,0.1526883338166424,4.831211920118877,7.080765048121339,2.0543012797870017e-15,1.6178319952482677e-15,1.7315182358796404e-15,2.488877710929775e-15
928,1.3806478558718644,2.047758117824426e-15,1.6122805861541855e-15,1.7264701269658002e-15,2.4853944733626497e-15,0.24255280118468925,0.20906363490970017,0.1851097480627313,0.1526492941464412,4.829976665824547,7.897694890291053,2.3964464574371727e-15,1.8870973373644113e-15,2.0201211922294226e-15,2.9054714713277184e-15
929,1.3820846234950048,2.3978802144572225e-15,1.8877523613593587e-15,2.0218854141099616e-15,2.912500954186137e-15,0.24249078478089334,0.2090101810854676,0.18506241881802127,0.1526102644579841,4.828741727362601,8.70160515033665,2.9161723664238125e-15,2.29612088617813e-15,2.458511054559118e-15,3.5382475235025234e-15
930,1.3835210237624143,2.932622564460557e-15,2.308485006190328e-15,2.4730693891560493e-15,3.564780367384334e-15,0.24242878423358033,0.20895674092841982,0.18501510167455085,0.15257124474871908,4.827507104652285,9.480836437340027,3.691154935546165e-15,2.906007213432704e-15,3.1122384651021758e-15,4.482072585702242e-15
931,1.3849570567680194,3.7336285007590634e-15,2.9386868311483356e-15,3.1489410582359745e-15,4.542139156257947e-15,0.24236679953869605,0.20890331443506233,0.18496779662922605,0.15253223501609484,4.826272797612867,10.22408728813756,4.844914149809227e-15,3.813918403175245e-15,4.0855490975376406e-15,5.8878732989715575e-15
932,1.3863927226057213,4.931212357864487e-15,3.880836897920124e-15,4.159512580352726e-15,6.004115868189178e-15,0.24230483069218742,0.20884990160190164,0.18492050367895374,0.15249323525756076,4.825038806163636,10.920578076382451,6.5731716034445745e-15,5.173797294376273e-15,5.54363992928725e-15,7.994953272933189e-15
933,1.3878280213693963,6.732362883639125e-15,5.2976961767052735e-15,5.679542494449943e-15,8.204285359606351e-15,0.24224287769000233,0.20879650242544517,0.18487322282064145,0.15245424547056693,4.823805130223902,11.56020735322575,9.186451354258962e-15,7.229857993112911e-15,7.748635786843837e-15,1.1183268945575514e-14
934,1.3892629531528966,9.465969539705527e-15,7.447852145335903e-15,7.986741104876565e-15,1.1545868386505686e-14,0.24218094052808975,0.20874311690220113,0.18482595405119762,0.1524152656525644,4.822571769712994,12.13369835215255,1.3178337680673327e-14,1.0370239492085848e-14,1.1117241426008008e-14,1.605726817395724e-14
935,1.3906975180500485,1.365510170973469e-14,1.0742517528776372e-14,1.1522837902790098e-14,1.6670689961489927e-14,0.2421190192023998,0.20868974502867862,0.1847786973675316,0.1523762958010051,4.821338724550263,12.632733533162657,1.9333715164424804e-14,1.5212075028275736e-14,1.6312177891130904e-14,2.3578975157368266e-14
936,1.3921317161546525,2.0131138196734317e-14,1.5835202996400634e-14,1.6990022863487167e-14,2.4599792963819043e-14,0.24205711370888366,0.2086363868013878,0.1847314527665537,0.15233733591334211,4.820105994655082,13.05007521495451,2.889797709786367e-14,2.273445782545003e-14,2.4385146392318824e-14,3.5276271254708543e-14
937,1.3935655475604818,3.0211088601246013e-14,2.3761018416984974e-14,2.5500811752446743e-14,3.695215673755346e-14,0.24199522404349377,0.20858304221683968,0.18468422024517517,0.15229838598702988,4.8188735799468425,13.379670545541664,4.3836352481112035e-14,3.4482188678716156e-14,3.699597357840837e-14,5.3562492984080125e-14
938,1.3949990123612792,4.596708957640895e-14,3.6148349110976204e-14,3.880585692697629e-14,5.627752269782148e-14,0.2419333502021836,0.20852971127154618,0.18463699980030834,0.15225944601952468,4.8176414803449585,13.616739288876532,6.722073390074068e-14,5.2869641890475405e-14,5.673956822698528e-14,8.221380345161963e-14
939,1.3964321106507565,7.062396743341665e-14,5.553106277947442e-14,5.963008507761259e-14,8.654805516537681e-14,0.24187149218090814,0.20847639396202028,0.18458979142886697,0.15222051600828546,4.8164096957688685,13.757843154281161,1.0378590459138165e-13,8.16176084777621e-14,8.761616594945935e-14,1.2705665206819952e-13
940,1.3978648425225888,1.0912260036877208e-13,8.579082394432906e-14,9.214913031408729e-14,1.3385613133863375e-13,0.24180964997562404,0.20842309028477607,0.18454259512776638,0.15218159595077463,4.815178226138028,13.800935663176308,1.6069015769601476e-13,1.263505158467408e-13,1.3567454371074155e-13,1.969095197102035e-13
941,1.399297208070407,1.6887532986902395e-13,1.3275004031260456e-13,1.4262836193369989e-13,2.073517440654159e-13,0.2417478235822899,0.20836980023632887,0.1844954108939241,0.15214268584445956,4.813947071371917,13.745391829874064,2.484838544937072e-13,1.953566803188123e-13,2.098313548700317e-13,3.047848057900174e-13
942,1.4007292073877913,2.607016451705228e-13,2.049060670878433e-13,2.2021469898480664e-13,3.2040639634004516e-13,0.2416860129968666,0.20831652381319557,0.18444823872426055,0.15210378568681532,4.812716231390044,13.592017225963321,3.822149317079541e-13,3.0045566857903174e-13,3.228067698397065e-13,4.692650680659413e-13
943,1.402160840568259,3.9985053654140734e-13,3.1423301473306144e-13,3.3780224284879643e-13,4.918894101380049e-13,0.24162421821531868,0.20826326101189513,0.18440107861570015,0.15206489547532714,4.811485706111935,13.343036296824009,5.82462898529694e-13,4.578088747598984e-13,4.920003943990013e-13,7.157979860173552e-13
944,1.4035921077052522,6.068744771889439e-13,4.768664668200366e-13,5.12773138854107e-13,7.472673086693264e-13,0.2415624392336156,0.20821001182894924,0.1843539305651728,0.1520260152074947,4.810255495457151,13.00206009971982,8.758832723738338e-13,6.883448988892166e-13,7.399541442115255e-13,1.0773944051851179e-12
945,1.4050230088921243,9.079177321895495e-13,7.133277133570237e-13,7.672439073990605e-13,1.118985257121765e-12,0.24150067604773318,0.20815677626088394,0.18430679456961604,0.15198714488083642,4.809025599345278,12.574033931375116,1.2945865172235752e-12,1.017269021608337e-12,1.0938304455859177e-12,1.5938923095298884e-12
