,S,U1,U2,U3,U4,W1,W2,W3,W4,R,Sv,V1,V2,V3,V4
1209,0.08944000248732184,5.107578908085312e-08,3.158096292992109e-61,0.014048365770725314,0.03187418482098901,0.5654087138667846,2.1329029463734503e-28,0.0870736817075581,0.07847124897167199,6.133683751299132,10.524691159798802,2.7807990911080615e-07,6.093602912930471e-61,0.030907354266199356,0.07933857492645459
1210,0.08576359177592216,5.679551271275568e-08,3.303653305476117e-61,0.017062434901748427,0.043051065059852255,0.5126571447033413,1.886527679551187e-28,0.09425128713647679,0.1098002870911184,6.1374141325360005,9.771862379742114,2.7599231557475765e-07,6.278445703560384e-61,0.03745610245629676,0.10825177079167644
1211,0.08089798230088602,6.514229321731748e-08,3.3563183312736395e-61,0.019688669767301444,0.053656187889644054,0.45242604584387924,1.6117909994731828e-28,0.10115903307455416,0.1496356599326551,6.14253635604876,8.977354174161755,2.794699234076641e-07,6.263779160643072e-61,0.04311930128708235,0.13741539289801918
1212,0.0752296533308078,7.642948245106875e-08,3.312671460032962e-61,0.021603350147859555,0.06137609185490383,0.3897171269591675,1.334765753761863e-28,0.10723935636457396,0.19601313389245814,6.148821211020719,8.158513882927286,2.884350098017741e-07,6.043363865326803e-61,0.047074068928943114,0.16132290734316385
1213,0.06933234429063642,9.064285754426503e-08,3.180607723950065e-61,0.022622634316178676,0.06447347405613678,0.3301382436810509,1.0816685971262875e-28,0.11231286413142605,0.24531817122906363,6.155802177652623,7.332513641258198,3.018397203924538e-07,5.637840406344731e-61,0.04877321794102788,0.17482119723869433
1214,0.06379165792210878,1.0722411713999595e-07,2.9741945009858682e-61,0.022713376604075505,0.06260084447699356,0.278035137059639,8.698038502281396e-29,0.11661495105071941,0.29334961900235557,6.162894306659963,6.5138711014971955,3.174264523749272e-07,5.0881679796322905e-61,0.04807651959022503,0.17529219690748818
1215,0.05904421464020508,1.248962314508798e-07,2.7091026571283624e-61,0.021943645317308746,0.056775220078920066,0.2354915287798109,7.044461609076561e-29,0.1205849684233449,0.33660787007283116,6.169552427791321,5.713400600063263,3.317220632293893e-07,4.444905157583844e-61,0.04521824531782563,0.16356363343279212
1216,0.055313167560866065,1.416418323444035e-07,2.4012662565836195e-61,0.02043556684780466,0.048668793196361984,0.20253091494120085,5.817699873075048e-29,0.12459586390086183,0.3730727501741753,6.17538280173687,4.9389820875424295,3.404306379718533e-07,3.7589343018693605e-61,0.040679948858189666,0.1430950674778172
1217,0.05263639097540282,1.5493480977530323e-07,2.0675525177084177e-61,0.01834786858011248,0.0398579724734099,0.17795068497498578,4.937896609365014e-29,0.12880282654862826,0.4022308392523012,6.180173262260322,4.19720982987411,3.3929527810840433e-07,3.0759406625574963e-61,0.03505813042180237,0.11829008208817163
1218,0.0509340091019727,1.6224754666854114e-07,1.7260079576228417e-61,0.015871503011488534,0.03144340339200062,0.16011987810265532,4.3205960187465595e-29,0.13314269127150452,0.4246238566496138,6.18386449622319,3.4947757234263914,3.2527679416412923e-07,2.4336297097560824e-61,0.028963241947597328,0.09304580435669488
