,S,U1,U2,U3,U4,W1,W2,W3,W4,R
4283,0.3913531793116902,0.001358155980615382,0.0034467754233989427,0.0025446251622692683,0.002423336885293969,0.4048461962793388,1.0283459420322674,0.7516805588020251,0.7206285068540004,3.6933727232691007
4284,0.3903173469894777,0.0017957779387794807,0.0045563838441774,0.003364729250190576,0.003204372015305237,0.4045209380552346,1.0275135282319137,0.7511097659874335,0.7200593574754394,3.6935578002120484
4285,0.38852396890823254,0.002317372255335941,0.005878578818243729,0.004342224279200821,0.004135324699924758,0.4041675872010611,1.0266063794988636,0.7504968544876165,0.7194434561743517,3.6940882536771698
4286,0.3858974068840603,0.002908819680846846,0.007377472675967372,0.005450633201740158,0.005190998797900731,0.4038028946020505,1.0256661046197206,0.7498743557233944,0.7188111544525321,3.6950201593617864
4287,0.38241829029846475,0.003540323229616246,0.008977475798819872,0.006634080030077712,0.006318203651935885,0.4034537656426599,1.0247602202421522,0.7492930549745753,0.718210688849867,3.6963938972818315
4288,0.3781448499591464,0.004165958241716929,0.010562185458109287,0.007806450299432688,0.007434949021732348,0.4031563937495025,1.0239801456392792,0.7488200428223513,0.7177065118488102,3.6982225129599193
4289,0.3732242559219074,0.004727250916133703,0.011983473563098469,0.008858111021912134,0.008436836013646228,0.4029525841313992,1.023432059725833,0.748531633704664,0.717372647269435,3.7004811477319715
4290,0.36788777978820336,0.005161201295575055,0.013081816732208856,0.009670967885305817,0.00921138707680283,0.4028832670543351,1.0232205572123663,0.7485012498726168,0.7172811078637421,3.703100665218844
4291,0.36242761258310985,0.005411602726548765,0.013714955938156286,0.010139700181147524,0.00965826292966374,0.402980248885119,1.023427709114149,0.7487842820018757,0.7174872682243777,3.705968357415853
4292,0.3571589675045694,0.005440951470749864,0.013788034794886675,0.010194089815108383,0.009710529728143857,0.40325820855115024,1.0240926010983518,0.74940364855205,0.718015767057976,3.7089372014270143
4293,0.3523761523790177,0.005239472826275776,0.013276429348029462,0.009815925833389095,0.009350770468613882,0.403709338124213,1.0251974644901056,0.7503404228838815,0.7188511773778177,3.711842846268656
4294,0.34831325395383356,0.00482832208551559,0.012233830575487454,0.009044972660520026,0.008616788449503386,0.40430255539111637,1.0266653614341505,0.7515329709034115,0.7199368235933005,3.714525120953161
4295,0.3451182258495411,0.004255743614623765,0.010782504365387567,0.007971733935241665,0.0075947354105940145,0.4049879578155209,1.028371206468481,0.752885702865209,0.7211828830288947,3.7168493066465063
4296,0.34284469567979686,0.0035872088251474696,0.009088313486294195,0.006718941829134467,0.006401494164095644,0.40570557190803525,1.0301637900537537,0.7542855871266079,0.7224820517998664,3.7187223451272677
4297,0.3414607609576648,0.0028924105112468996,0.007327784302678986,0.0054171765156650255,0.005161458324813064,0.4063960853653073,1.0318929638695749,0.7556221024816396,0.7237286494292143,3.720100608242195
4298,0.34087013290862866,0.0022327767075016013,0.00565649097608312,0.004181481728391914,0.003984249264827698,0.40701066371945327,1.0334346217212782,0.7568052810570072,0.7248360189369869,3.7209882829798415
