,S,U1,U2,U3,U4,W1,W2,W3,W4,R
4436,0.10974150176886563,9.359627549898852e-08,3.7822818336479216e-149,0.0026092642691713844,0.0009895757923817719,0.9226484280837386,2.8038190322557325e-36,0.30660791472535753,0.6461876798289486,5.01121554193526
4437,0.11091599207221786,1.3948823125423342e-07,4.771246319052707e-149,0.0036533202850814006,0.0013204409047103398,0.9190357198930377,2.789170111531068e-36,0.30896207880895005,0.6457527871989592,5.0103595213488115
4438,0.11187346455873015,2.0582177198145257e-07,5.956888800803008e-149,0.005048067336616051,0.0017430376134776652,0.9142205400448923,2.769702563842271e-36,0.31228961297201785,0.6451624217046528,5.009662649947842
4439,0.11255420248844215,2.996700262190186e-07,7.336254270727893e-149,0.006854616956169268,0.0022680154793642553,0.9078855578244001,2.7442029062933625e-36,0.31690327114219885,0.6443611453606886,5.009172891078711
4440,0.11289622729219918,4.2913452818829886e-07,8.883532128803105e-149,0.00910761814915746,0.0028987041916010104,0.8997067574900126,2.7114630805130996e-36,0.3231569079346683,0.6432894541806042,5.008943901627228
4441,0.11284404942934737,6.025895924878834e-07,1.0543620143863106e-148,0.011790971806138695,0.0036266106785313953,0.8894010188403491,2.6704734884528333e-36,0.3314131340545394,0.641893363269852,5.00903024933165
4442,0.11236073194423848,8.273352761077616e-07,1.2228949294705321e-148,0.014812764989783471,0.004427255980323563,0.876790412173396,2.6206740835418342e-36,0.341989700602367,0.640138646610708,5.0094796603639065
4443,0.11144130585250765,1.1075999307643856e-06,1.3822086297592803e-148,0.017988692407696242,0.005257802583069064,0.8618726353453346,2.5622169283823863e-36,0.3550880608018305,0.6380276412222371,5.010322754187393
4444,0.11012389023929174,1.441990012830879e-06,1.5185875454082698e-148,0.02104550316834491,0.006058043439141282,0.8448784044984302,2.496162576166544e-36,0.3707168632079365,0.6356139040479971,5.011561949408845
4445,0.10849411982486581,1.8207369153421327e-06,1.6181020629429495e-148,0.023652939314715127,0.006755813252901379,0.826292762266706,2.424523949836773e-36,0.3886319055817707,0.6330082217629462,5.0131624172591795
4446,0.10667964531402652,2.2234320630573066e-06,1.6688475527323663e-148,0.02548284308070109,0.007276720026723374,0.8068231914153523,2.350102492273792e-36,0.4083166886395677,0.6303702693456653,5.0150484187459
4447,0.10483458944789964,2.6182947694984314e-06,1.6631796786369168e-148,0.026280927273362332,0.007556628571226209,0.7873136090456726,2.2761290779163338e-36,0.42901966851107076,0.6278844722096468,5.017107486646353
4448,0.10311756901785221,2.964173154005935e-06,1.599378068304298e-148,0.025927700575632418,0.007554137392196103,0.7686232346114252,2.205796239360049e-36,0.4498465915235283,0.6257250806580432,5.019202722048169
4449,0.1016692158009376,3.2161145326301512e-06,1.4822739175997247e-148,0.02446689579871815,0.007259868775592505,0.751502553265948,2.1418082734163646e-36,0.4698865951045237,0.6240208455348631,5.021190809604884
4450,0.10059485071982752,3.3342229438404363e-06,1.3226330153038189e-148,0.022092362138317858,0.006699920329195328,0.7364981821582756,2.0860611005346935e-36,0.4883391466642406,0.6228307482069183,5.0229414555602805
4451,0.09995556244498645,3.2938370766563433e-06,1.135405522750191e-148,0.01910043594681878,0.005932185864387754,0.7239058665557401,2.039508096191839e-36,0.5046108376156022,0.6221381571138213,5.024353660621566
4452,0.099767981057505,3.0936110846078947e-06,9.3724224465254e-149,0.015825622608854485,0.005036120732330037,0.7137739316613496,2.0022053183858035e-36,0.5183639979331707,0.6218637379070358,5.025365514488669
4453,0.10001088338958507,2.757957743448805e-06,7.438569823797589e-149,0.01257913642685797,0.004098394847022492,0.7059461625549343,1.973487032844697e-36,0.5295153645872432,0.6218910038852938,5.02595629635132
4454,0.10063584794197579,2.3321038691366235e-06,5.6783427515257665e-149,0.009604421716331146,0.003198102645137316,0.7001267559660618,1.952207547708245e-36,0.5381955794607347,0.6220952560277888,5.026141704138102
4455,0.10157919559477036,1.8710880678236752e-06,4.1732894472586345e-149,0.007055675852089817,0.0023952420685065838,0.6959499404669951,1.9369906771886178e-36,0.544686189032576,0.6223674590127691,5.025964426884225
4456,0.10277296048262533,1.4267230515569971e-06,2.9582381586673608e-149,0.004998168156059829,0.0017249390749820158,0.6930406867242509,1.926443328359333e-36,0.5493508636091354,0.6226281381778622,5.0254828170520325
4457,0.10415336456399822,1.0372332135946132e-06,2.02804752955091e-149,0.003424411429548811,0.0011978825443310457,0.6910584525369262,1.91930805961945e-36,0.5525739981586802,0.6228306647499182,5.024760188783383
4458,0.10566609496213669,7.226215827092462e-07,1.349913275683768e-149,0.0022782830513688066,0.0008055181318544534,0.6897215750375872,1.9145475187235843e-36,0.5547147411433929,0.6229565657133526,5.023856499338724
4459,0.10726847725459179,4.859777422602814e-07,8.769695309759396e-150,0.0014796739437442762,0.0005274882205736273,0.6888145522221342,1.9113686955386664e-36,0.5560792644539307,0.6230068785791177,5.0228231793481655
4460,0.10892923189785488,3.186218653788925e-07,5.597761449537974e-150,0.0009444376759576437,0.0003388523000490959,0.6881832208984622,1.9092043334318302e-36,0.5569097718371363,0.6229931898700094,5.021700976898665
4461,0.11062676959530682,2.0622914792778387e-07,3.5394616311177427e-150,0.0005972929848722438,0.00021547836181723946,0.6877235124127121,1.9076714371142955e-36,0.5573860350817883,0.622930613090525,5.020520092243831
4462,0.11234692568879423,1.3377245650532895e-07,2.237995085008789e-150,0.00037787006197488246,0.00013708762606935983,0.6873685095887139,1.9065237084354788e-36,0.5576343494158063,0.6228334513055211,5.019301672540664
4463,0.11408077277366944,8.84103656721778e-08,1.429718308395133e-150,0.00024162912123853265,8.827426184192602e-05,0.6870767980504568,1.9056087249752488e-36,0.5577393757760802,0.6227132263637175,5.01805983524263
4464,0.11582284072357554,6.051213719855939e-08,9.324241086206824e-151,0.00015781827818743852,5.820763790305478e-05,0.6868234152023721,1.9048346342264123e-36,0.5577557131216468,0.6225782972727218,5.0168036472514554
4465,0.1175698271588555,4.349858967806698e-08,6.267136940539755e-151,0.00010629976899317275,3.9721744470528445e-05,0.6865935141850751,1.9041468205215176e-36,0.5577175369868403,0.6224342920757788,5.015538764581398
4466,0.11931973976607535,3.317514776172383e-08,4.374987393687363e-151,7.44161406336278e-05,2.8290643859135616e-05,0.6863782617269281,1.9035127942297997e-36,0.5576458081715077,0.6222848009562933,5.014268649419556
